"Title","Company","City","State","Zipcode","PostedDateText","Remote","Job Shelf","Job Type","Job Link"
"Senior Digital Designer","Transamerica","Denver","CO","80221","6 days ago","","","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTc6QNVOSPiClcwKtbKDVc74mHh5tWbxey_kJAsVh8U1LhD-YQpmp-G06-H0TuMTCe7Ia_x5huSTszOymcKTv4rBUEohLLmgzgXg2PvurrXmzLiJFuErh7UUezNfBA01fpxoqgpQg_HJoRE9Tg-x80uJCKIcjrEeUw_0O5STXkkKT5nF2pEQhl_9w5A2bFhuygnUZwxCzHPz-_NU7xulyzyQwY9j4o2bSpWqDdifTutnSaTI88dOZLuYx3dwVYvv7ouIos-mIH5y7ufqhkC1Mw34jpj8-RWYbhFT6WRRjjt0WQdxukOO4iGElcLVwXiAU97WbQdLENH0jd2LB7v3l-dTyW8W4_bSty2qjkMm2cfI9arMknfvGK4Ctje7WVE02_1TO-Tt0Ol4sezJWMZFXs0XHnydgKYRyXQvIsiEU9VgRR2Chzttwg&p=15&fvj=0&vjs=3"
"Digital Advertising Specialist","One Firefly","Denver","","","4 days ago","Remote work available","Easily apply","Full-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJG4cCBIro01qnWsbRumNjAfx1O4AtBGuh7k3lAZ-VHHZbKQMGxUs-O-TA0mRpGn0nDAl7VYB1Zh7HMYlCgAknZsfDVw08zu7cUoME_n-ahkjk7gCbXd4KAwGeY_ssAyEbYKiuBPs-CoOJ2Fj4vk_2uh1jpXG1-cdZ-lEB8xa6EkThccqISzwij6hrsw35G3IKdO3cSJ5UfzHKSjy9k_KyIztKpXO9_QwvjQdBlZtQGI8vmrM84OodWKSli5d-_4wqtRZeUx3Cz1pGYwpvBhl4tuSmNdLrrDFid3UdV3FrVuRjimg1JScQSo6B7DeD6HLiRf2Bt7mCQJAs_twWzpx4mIUMkJR1dAzERvkpsJ9SYd_aUl5O_B7JD7jpotbw-nius_d0taT07holGndRc703FQBGMcSTYGqZxj6liUX0oECSoky2qbaqZlP40bD3cVlFOgT48krtwZZS5VVTO1Kf&p=16&fvj=1&vjs=3"
"Digital Merchandising & UX","The Electric Tobacconist, LLC","Boulder","CO","80301","21 days ago","","Easily apply, Responsive employer","Full-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRsimkFAJKRY9UwIIaH6h9_RjdJB9jcmesPUDJ3oLoExsIRXxHiyQOWj2nzpKrmq1I63wNCbpyqzCqX9o07C-Awf3IIZnOSte4swNPSFx35tEXyljLekhwdvGXTUhzZPy0wWHnBzGhnWeGJollvHCbRS79lR5FOp-7MuBTNT4m_QrL2wYvdP9xqzF3GPevwdnbslr1VdW0UckAMfryGGGvWf_mhXs5HFjIAi039XvTvT1cs37xtBiRTivO34y24WwYB-RXb8UKQNPGmbw2d-80_DhMBBc9MGkj2nCr2YJjkCg3wGpr_z2k92qlt_gyWpK0IBRs3plOyFdDow7WzN_Fgr-uPQBvi3r4i_2mLuD29bmRV_x_7YEkAdh_cuud4zwBcieN9a7WvUXLqq6E1ejDo3Icc49h0C5ode9f9L1kuC7_0AZEGFLmCVlstD6O3UsAQ1rBGal-HnMe3ISNpLxazqaEMwAIz64=&p=0&fvj=1&vjs=3"
"SEO Editor, The Ascent","The Motley Fool","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=7cbd13bf1bf55006&fccid=62d0bf8f2d130eaa&vjs=3"
"SEO Copywriter","Where's Weed","","","","30+ days ago","","Easily apply","","https://www.indeed.com/rc/clk?jk=3408ce11a5057efc&fccid=705eec7f720fc83f&vjs=3"
"Marketing Automation Manager - Marketo (MCE)","SDL","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=f3dbc8970c922df6&fccid=1d7aed1757bee35b&vjs=3"
"Content Marketeer","GetyourQuote llc","","","","23 days ago","Remote work available","Easily apply","","https://www.indeed.com/company/GetyourQuote-llc/jobs/Content-Marketeer-7fb42ae372172cc9?fccid=0ba676d026443cf9&vjs=3"
"Search Strategist","Booyah Advertising","","","","30+ days ago","","Easily apply","","https://www.indeed.com/rc/clk?jk=a3f50fb0ce1b802a&fccid=4bcf5518e6ef03fa&vjs=3"
"Affiliate Manager","eCom Logics","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=6f4dcd5a7ed7ad55&fccid=40f25dcf23a54dee&vjs=3"
"VP of Marketing","Evercommerce","","","","11 days ago","","Easily apply","","https://www.indeed.com/rc/clk?jk=f7581673d98fd7c5&fccid=9222b0c7c41358ed&vjs=3"
